city,price,area,house type,rooms,bars,furniture,lift,parking,air condition
מגדל העמק,1060000,120,דירת גן,3,1,0,0, ברחוב, בחדרים ובסלון
כפר סבא,2230000,128,דירה,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
גני תקווה,1490,70,דירה,3,1,0,0, חניה משותפת, בסלון
אבני חפץ,750000,100,דירה,4.5,0,0,0, ברחוב, בחדרים ובסלון
באר שבע,980000,70,בית פרטי,3,0,1,0, אין, בחדרים
מזכרת בתיה,2550000,0,דירה,5,1,1,1, פרטית - לא מקורה, מיזוג מרכזי
תל אביב יפו,3590000,75,דירה,3,1,0,0, אין, בחדרים ובסלון
תל אביב יפו,1850000,120,דופלקס,3,0,0,0, אין, אין
חולון,1790000,85,דירה,4,0,1,1, פרטית - לא מקורה, בחדרים ובסלון
יקנעם,1850000,135,בית פרטי,5.5,0,1,0, פרטית - לא מקורה, מיזוג מרכזי
הרצליה,28000000,2014,וילה,10,1,0,1, רחבה ציבורית, בחדרים ובסלון
ירושלים,1270000,67,דירה,3,1,0,0, אין, אין
חולון,2250000,90,דירה,4,0,1,1, פרטית - מקורה, מיזוג מרכזי
נתיבות,680000,100,דירה,4,1,1,0, ברחוב, בחדרים ובסלון
גן יבנה,2800000,329,בית פרטי,6.5,0,0,0, אין, אין
בית שמש,1150000,65,דירה,1,1,0,0, אין, בחדרים ובסלון
חולון,1160000,74,דירה,3,1,0,0, אין, בחדרים ובסלון
קרית מלאכי,1000000,100,דירה,4,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
חדרה,890000,72,דירה,3,0,0,0, חניה משותפת, אין
יוקנעם,1360000,108,דירה,5,0,0,1, פרטית - מקורה, מיזוג מרכזי
חולון,1260000,68,דירה,3,0,0,0, חניה משותפת, בחדרים ובסלון
בית נחמיה,3800000,190,בית פרטי,5.5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
חולון,1580000,60,דירה,3,1,0,1, ברחוב, מיזוג מרכזי
נתניה,0,150,דירה,5,1,0,1, פרטית - מקורה, בחדרים ובסלון
קרית אתא,680000,90,דירה,4,1,0,0, ברחוב, בחדרים ובסלון
ראשון לציון,2450000,105,דירה,4,0,0,1, פרטית - לא מקורה, מיני מרכזי
חולון,1420000,125,דירה,3,1,0,0, אין, בחדרים ובסלון
קדרים,1590000,170,דו משפחתי,4,0,0,0, רחבה ציבורית, בחדרים ובסלון
קריית ים ,620000,67,דירה,3,1,1,0, אין, מפוצל
יקיר,1400000,148,בית פרטי,1,0,0,0, ברחוב, בחדרים ובסלון
פתח תקווה,1650000,100,דירה,4,1,0,1, פרטית - מקורה, בחדרים ובסלון
חיפה,1300000,80,דירה,4,1,1,0, פרטית - לא מקורה, בחדרים ובסלון
רמלה,1320000,92,דירה,4,1,1,0, רחבה ציבורית, בחדרים ובסלון
בית שאן,950000,160,בית פרטי,5.5,0,0,0, רחבה ציבורית, בחדרים ובסלון
אשקלון,2150000,164,דירה,6,0,1,1, פרטית - לא מקורה, מיזוג מרכזי
ירדנה,1,130,נחלה,4,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
קרית מוצקין,1525000,123,דירה,5,0,0,1, חניה משותפת, מיזוג מרכזי
באר שבע,189000,86,דירת גן,3,1,1,0, פרטית - מקורה, בחדרים ובסלון
חולון,1680000,80,דירה,4,0,1,0, פרטית - מקורה, בחדרים ובסלון
חדרה,3600000,940,בית פרטי,6,0,0,0, אין, אין
קרית מוצקין,1575000,123,דירה,5,0,0,1, חניה משותפת, מיזוג מרכזי
קרית מלאכי,890000,0,דירה,4.5,1,0,1, רחבה ציבורית, בחדרים ובסלון
פתח תקווה,2650000,140,מיני פנטהאוז,5,0,1,1, פרטית - מקורה, מיזוג מרכזי
מודיעין מכבים רעות,1950000,100,דירה,4,0,0,0, פרטית - לא מקורה, מיזוג מרכזי
חדרה,1080000,97,דירה,3,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
ראשון לציון,2595000,225,דופלקס,5.5,0,0,1, פרטית - מקורה, מפוצל
מודיעין מכבים רעות,2450000,125,דירה,5,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
13,2100000,150,דופלקס,7,0,0,0, רחבה ציבורית, בחדרים ובסלון
שומרה,2000000,420,בית פרטי,10,0,1,0, פרטית - מקורה, בחדרים
גבעתיים,2550000,93,דירה,4,1,1,1, פרטית - לא מקורה, מיזוג מרכזי
פתח תקווה,3530000,167,פנטהאוז,5,0,0,0, פרטית - מקורה, מיזוג מרכזי
חדרה,1900000,0,דו משפחתי,6.5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
מזרעה,600000,115,דירה,5.5,0,1,0, ברחוב, אין
נשר,1200000,78,דירה,3,0,0,1, פרטית - מקורה, אין
קריית שמואל,1390000,117,דירה,5,1,0,1, חניה משותפת, מיזוג מרכזי
חדרה,1150000,117,דירה,4,0,1,0, חניה משותפת, בחדרים ובסלון
עכו,850000,115,דירה,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
גילה,0,45,דירה,2,1,1,0, ברחוב, בחדרים ובסלון
פרדס חנה - כרכור,1150000,250,מגרש למגורים,1,0,0,0, אין, אין
חולון,1250000,0,דירה,1,1,0,0, אין, בחדרים ובסלון
יגל,450000,162,קראוון,5,0,0,0, אין, אין
פתח תקווה,2400000,0,דירה,4,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
גבעתי,7000000,40000,משק חקלאי,4,0,0,0, פרטית - מקורה, בחדרים ובסלון
בני ברק,4500000,0,בית פרטי,4.5,0,0,0, אין, בחדרים
טבריה,700000,70,דירה,3,1,0,0, ברחוב, בחדרים ובסלון
פתח תקווה,1270000,0,דירה,4,0,1,0, אין, אין
רמת גן,2480000,70,דירה,3,0,0,1, פרטית - מקורה, בחדרים ובסלון
תל אביב יפו,3200000,80,דירה,3,1,0,1, פרטית - מקורה, מיזוג מרכזי
תל אביב יפו,2650000,60,דירה,2,1,0,1, פרטית - מקורה, מיזוג מרכזי
פתח תקווה,1630000,71,דירה,3,1,0,1, פרטית - לא מקורה, מיזוג מרכזי
תל אביב יפו,4200000,117,דירה,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
קרית גת,200000,130,דירת גן,5,0,1,1, פרטית - מקורה, בחדרים ובסלון
גבעת שמואל,20500000,0,דירה,4,0,0,1, אין, מיני מרכזי
בת ים,1500000,87,דירה,3,0,1,0, ברחוב, בחדרים ובסלון
מגדל העמק,590000,75,דירה,3,0,0,0, רחבה ציבורית, אין
רחובות,2900000,130,קוטג,5,1,0,0, פרטית - לא מקורה, בחדרים ובסלון
שדרות,2000100,0,בית פרטי,8,1,1,0, פרטית - מקורה, בחדרים
דימונה,1000000,416,דו משפחתי,4.5,0,1,0, פרטית - לא מקורה, מיני מרכזי
ג,1250000,56,דירה,2,1,0,0, אין, בסלון
נתיבות,730000,60,דירה,3,0,0,0, ברחוב, בסלון
בית דגן,2800000,200,דו משפחתי,6,0,0,0, פרטית - לא מקורה, מיזוג מרכזי
באר יעקב,1450000,0,דירה,4,1,0,0, אין, בחדרים ובסלון
נתיבות,880000,0,דירה,1,0,0,0, פרטית - לא מקורה, אין
נתיבות,1700000,0,דו משפחתי,1,0,0,0, אין, אין
רעננה,1950000,117,דירה,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
קרית גת,870,100,דירה,4,0,0,0, אין, בחדרים
ראשון לציון,1900000,100,דירה,5,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
מצפה יריחו,1650000,140,דירה,6,1,1,0, רחבה ציבורית, בחדרים ובסלון
ראשון לציון,1600000,80,דירה,3,0,0,0, אין, בחדרים ובסלון
נהריה,1500000,104,דירה,4,0,0,1, פרטית - לא מקורה, מיני מרכזי
חיפה,0,104,דירה,3,1,0,0, אין, בחדרים ובסלון
חיפה,2600,0,דירה,2.5,1,1,0, אין, בסלון
חיפה,2600,0,דירה,2.5,1,1,0, אין, בסלון
נתניה,1,0,דירה,4,0,0,1, פרטית - לא מקורה, בסלון
קרית אתא,975000,108,דירה,4.5,1,1,0, פרטית - לא מקורה, בחדרים ובסלון
רעננה,2450000,97,דירת גן,4,0,1,1, פרטית - מקורה, מיני מרכזי
עמנואל,490000,90,דירה,3.5,1,0,0, חניה משותפת, אין
קרית ים,980000,125,דירה,4.5,0,0,0, חניה משותפת, מיזוג מרכזי
חדרה,1300000,0,דירה,4,0,1,1, פרטית - לא מקורה, בחדרים ובסלון
ירושלים,4000000,0,דירה,7,1,1,0, ברחוב, בסלון
בת ים,1300000,0,דירה,4,1,1,0, ברחוב, בחדרים ובסלון
קציר,0,60,דירה,3,0,0,0, אין, אין
נתיבות,1800000,136,פנטהאוז,5,0,0,1, פרטית - מקורה, מיני מרכזי
באר שבע,1,138,דירה,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
ירושלים,2500000,75,דירה,3.5,0,0,0, אין, אין
באר שבע,1100000,73,דירה,4,1,1,0, ברחוב, בחדרים ובסלון
חדרה,2000000,77,קוטג,4,1,1,0, פרטית - מקורה, בחדרים ובסלון
רמלה,1320000,92,דירה,4,1,1,0, רחבה ציבורית, בחדרים ובסלון
ירושלים,2090000,78,דירה,3,1,0,0, חניה משותפת, מיזוג מרכזי
נתניה,2200000,120,דירה,4,0,0,1, פרטית - מקורה, בסלון
חיפה,2500000,120,דירת גן,4.5,1,1,1, אין, מיני מרכזי
רחובות,1500000,80,דירה,3,0,0,1, פרטית - מקורה, בחדרים ובסלון
חדרה,880000,75,דירה,3,0,0,0, ברחוב, בסלון
תל אביב יפו,100000,250,פנטהאוז,10,1,1,1, פרטית - לא מקורה, בחדרים ובסלון
חיפה,1780000,0,דירה,5,1,0,0, אין, בחדרים ובסלון
אשדוד,1760000,157,דירה,5,0,0,1, פרטית - לא מקורה, מיני מרכזי
רחובות,3390000,250,קוטג,6,1,1,0, פרטית - מקורה, בחדרים ובסלון
טפחות,1600000,180,וילה,6,0,0,0, פרטית - מקורה, בסלון
קרית מוצקין,1575000,123,דירה,5,0,0,1, חניה משותפת, מיזוג מרכזי
ראשון לציון,1300000,86,דירה,2.5,0,0,0, אין, בסלון
ירושלים,0,0,דירה,3,0,0,1, פרטית - לא מקורה, אין
עומר,3000000,160,בית פרטי,7,1,1,0, פרטית - מקורה, אין
חולון,2000000,100,דירה,4,0,0,0, פרטית - לא מקורה, מפוצל
קרית השרון,1980000,130,דירה,5,0,1,1, רחבה ציבורית, מפוצל
ירושלים,1320000,67,דירה,3,0,0,0, אין, בסלון
עכו,850000,80,דירת גן,3,0,0,0, ברחוב, בחדרים ובסלון
בת ים,1350000,80,דירה,3,0,0,0, אין, בסלון
אשקלון,1230000,0,דירה,3,0,0,1, ברחוב, מפוצל
אשקלון,1100000,90,דירה,4,0,1,1, פרטית - לא מקורה, בחדרים ובסלון
אחיסמך,1580000,97,דירה,4,0,0,1, חניה משותפת, אין
גבעתיים,2200000,74,דירה,3,0,0,0, ברחוב, בחדרים ובסלון
נתניה,1250000,67,דירה,3,1,1,0, ברחוב, בחדרים ובסלון
טבריה,450000,70,דירה,3.5,0,0,0, חניה משותפת, בחדרים ובסלון
חולון,2250000,100,דירה,5,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
ראשון לציון,2550000,115,דירת גג,5,0,0,1, פרטית - מקורה, אין
טבריה,670000,83,דירה,3,0,1,0, ברחוב, בחדרים
עפולה,1150000,140,דירת גן,5,0,0,0, ברחוב, בחדרים ובסלון
הוד השרון,4200000,180,דופלקס,6,1,0,1, פרטית - מקורה, מיני מרכזי
כפר יונה,3100000,310,קוטג,9,0,0,0, פרטית - מקורה, מיזוג מרכזי
נצרת,1600000,110,דירת גן,4,1,0,1, פרטית - מקורה, בסלון
אור יהודה,2300000,120,דירה,4.5,1,0,1, פרטית - מקורה, מיני מרכזי
בת ים,2900000,137,דירה,4,1,1,1, פרטית - מקורה, מפוצל
ראשון לציון,4000000,130,דירה,5,0,0,1, פרטית - מקורה, בחדרים ובסלון
באר שבע,1200000,107,דירה,4,1,1,1, פרטית - מקורה, מיזוג מרכזי
חיפה,1800000,0,דירת גג,5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
חולון,1350000,74,דירה,3,1,0,1, אין, בחדרים ובסלון
אשדוד,1490000,90,דירה,4,0,0,1, ברחוב, בחדרים ובסלון
חיפה,11500000,98,דירה,5,1,0,0, אין, בחדרים
טבריה,960000,150,דירת גן,5,1,0,0, פרטית - מקורה, מיזוג מרכזי
טבריה,560000,70,דירה,3,1,0,0, חניה משותפת, בחדרים ובסלון
תל אביב- הצפון הישן,4500000,86,דירה,3.5,1,0,0, אין, מיזוג מרכזי
תל אביב יפו,2950000,73,דירה,2.5,0,0,1, ברחוב, בחדרים ובסלון
ירושלים,3000000,100,דירה,4.5,1,1,1, אין, בחדרים ובסלון
כרמיאל,870000,105,דירה,4,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
משמר הירדן,3000000,220,בית פרטי,6,1,0,0, פרטית - לא מקורה, בחדרים ובסלון
יבנה,1860000,108,דירה,4,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
נתניה,1650000,101,דירה,4,1,0,1, פרטית - לא מקורה, מיזוג מרכזי
תל אביב יפו,3590000,75,דירה,3,1,0,0, אין, בחדרים ובסלון
באר שבע,780000,72,דירה,3,1,1,0, ברחוב, אין
קרית מוצקין,670000,67,דירה,3,1,0,0, ברחוב, בסלון
יקנעם,1820000,134,בית פרטי,5.5,0,0,0, פרטית - לא מקורה, מיזוג מרכזי
רעננה,2050000,128,דירה,4,0,0,1, פרטית - מקורה, בסלון
נתניה,1600000,0,דירה,4,0,0,1, רחבה ציבורית, בחדרים ובסלון
רחובות,2480000,110,דירה,4,1,1,1, פרטית - מקורה, מיני מרכזי
תל אביב יפו,0,0,פנטהאוז,7,0,0,1, פרטית - מקורה, מפוצל
חולון,3200000,240,פנטהאוז,5,0,0,1, פרטית - מקורה, מיזוג מרכזי
ראשון לציון,0,160,דירה,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
ראשון לציון,2080000,120,דירה,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
ראשון לציון,2570000,220,דירת גן,5,0,0,0, פרטית - מקורה, בחדרים ובסלון
חדרה,1200000,90,דירה,3.5,0,1,1, פרטית - לא מקורה, מיזוג מרכזי
קרית ביאליק,950000,0,דירה,4,1,0,1, אין, בסלון
ירושלים,2900000,116,דירה,5,1,0,1, פרטית - מקורה, מיני מרכזי
חולון,1460000,68,דירה,3,1,0,1, פרטית - מקורה, בחדרים ובסלון
כפר ורדים,2390000,295,בית פרטי,8,0,0,0, פרטית - מקורה, בחדרים ובסלון
חולון,2100000,100,דירה,4,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
חיפה,1690000,75,דירה,3,1,0,1, פרטית - מקורה, מיזוג מרכזי
חולון,1800000,96,דירה,4,1,1,1, פרטית - לא מקורה, בחדרים ובסלון
הרצליה,2750000,130,דירה,4.5,0,1,1, פרטית - מקורה, מיזוג מרכזי
יקנעם,2100000,140,דו משפחתי,5.5,0,0,0, אין, אין
שדרות,1480000,140,קוטג,5.5,0,0,0, ברחוב, בחדרים ובסלון
נהריה,0,157,קוטג,6,0,0,1, ברחוב, מיזוג מרכזי
נהריה,2100000,144,דו משפחתי,5,0,1,0, פרטית - לא מקורה, בחדרים ובסלון
פתח תקווה,2120000,129,דירה,4,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
חולון,1400000,60,דירה,3,1,0,1, ברחוב, בחדרים ובסלון
ירושלים,2100000,150,דופלקס,7,0,0,0, רחבה ציבורית, בחדרים ובסלון
ראשון לציון,0,60,דירה,2.5,0,0,1, פרטית - מקורה, בחדרים ובסלון
תל אביב יפו,3950000,140,דירה,4,0,1,0, אין, מיזוג מרכזי
תל אביב יפו,3950000,140,דירה,4,0,1,0, אין, מיזוג מרכזי
ירוחם,415000,0,מגרש למגורים,1,0,0,0, אין, אין
באר יעקב,3000000,160,בית פרטי,5,0,0,0, פרטית - מקורה, מיזוג מרכזי
רמת גן,1960000,100,דירה,4.5,0,0,1, פרטית - מקורה, מיזוג מרכזי
מעלה אדומים,1700000,118,דירה,4,1,0,1, פרטית - לא מקורה, מיני מרכזי
רעננה,2650000,126,דירה,5,0,0,1, פרטית - מקורה, בחדרים ובסלון
בנימינה,3200000,204,וילה,6,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
מערב חדרה,2510000,180,דו משפחתי,5,0,0,0, פרטית - לא מקורה, אין
אשדוד,2850000,196,דירה,5,1,0,1, פרטית - מקורה, בחדרים ובסלון
בית אריה,2500000,180,בית פרטי,5,0,1,0, פרטית - מקורה, בחדרים ובסלון
חיפה,430000,100,דירה,4,1,0,0, חניה משותפת, מיזוג מרכזי
רחובות,2275000,130,דירה,5,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
ראשון לציון,3400000,600,דו משפחתי,4,0,0,0, פרטית - לא מקורה, אין
בת ים,1700000,92,דירה,3.5,1,0,0, אין, בחדרים ובסלון
גבעת שמואל,2500000,133,דירה,5,0,1,1, פרטית - לא מקורה, בחדרים ובסלון
באר שבע,550000,75,דירה,3,1,1,0, אין, בחדרים ובסלון
רמת גן,6000000,559,בית פרטי,5,0,0,0, פרטית - לא מקורה, אין
חדרה,1400000,100,דירת גן,4,0,0,0, אין, אין
אשדוד,13500000,120,דירת גן,1,1,0,0, רחבה ציבורית, אין
אבן מנחם,2800000,1500,משק חקלאי,7,1,0,0, פרטית - לא מקורה, אין
תל אביב יפו,2290000,96,דירה,4,0,1,1, פרטית - לא מקורה, מיני מרכזי
אור יהודה,1300000,75,דירה,3.5,0,0,0, אין, בסלון
פתח תקווה,1800000,140,דירה,5.5,1,0,0, פרטית - מקורה, בחדרים ובסלון
תל אביב יפו,4500000,110,דירה,4,1,0,1, אין, בחדרים
בית שמש,1480000,0,דירה,3,1,0,0, חניה משותפת, בחדרים ובסלון
תל אביב יפו,0,2500,מגרש למגורים,1,0,0,0, אין, אין
ראשון לציון,19000000,80,דירה,3,0,0,1, פרטית - מקורה, בחדרים
מבשרת ציון,5000,120,יחידת דיור,4,1,1,0, אין, בחדרים ובסלון
ירוחם,1200000,0,קוטג,5,0,1,0, חניה משותפת, בסלון
חולון,3200,70,דירה,2.5,0,0,0, אין, אין
חיפה,950000,100,דירה,3,0,0,0, ברחוב, מיזוג מרכזי
פתח תקווה,0,120,דירה,6,0,0,0, פרטית - לא מקורה, מיני מרכזי
קרית היובל,2000000,100,דירה,4.5,1,1,0, אין, אין
חיפה,800000,72,דירה,3,0,0,0, אין, בחדרים ובסלון
ראש העין,9,120,דירה,4.5,0,0,1, פרטית - מקורה, מיזוג מרכזי
נתניהרדא,0,0,דירה,3,1,1,0, רחבה ציבורית, אין
חולון,1400000,70,דירה,3,1,0,0, חניה משותפת, בחדרים ובסלון
חולון,1250000,72,דירה,3,1,0,0, אין, בחדרים ובסלון
קרית ים,1060000,220,דירה,3,0,0,0, חניה משותפת, אין
רעננה,2450000,97,דירת גן,4,0,1,1, פרטית - מקורה, מיני מרכזי
טבריה,910000,120,דירה,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
אשקלון,1180000,120,דירה,4,0,0,1, פרטית - לא מקורה, מיזוג מרכזי
חדרה,2500000,154,בית פרטי,5,1,0,0, ברחוב, בחדרים
ירושלים,1400000,80,דירה,4,1,0,0, אין, בחדרים ובסלון
נהריה,550000,45,דירה,2.5,1,1,0, ברחוב, בחדרים
תל אביב יפו,2000000,100,דירה,4,1,0,1, חניה משותפת, בסלון
תל אביב יפו,5500000,146,דירה,5,1,0,1, פרטית - מקורה, מיזוג מרכזי
נתניה,1250000,66,דירה,3,0,0,0, אין, בחדרים ובסלון
עפולה,0,0,מגרש למגורים,1,0,0,0, אין, אין
בית שמש,1500000,120,דירה,4.5,1,0,0, אין, מיני מרכזי
באר שבע,1100000,78,דירה,4,1,1,0, ברחוב, בחדרים ובסלון
אילת,897550,80,דירה,4,1,0,0, ברחוב, בחדרים ובסלון
הוד השרון,3950000,200,דו משפחתי,5.5,0,0,0, אין, מיזוג מרכזי
צפת,1150000,140,דירה,6,0,1,0, אין, בחדרים ובסלון
ירושלים,2000000,120,דירת גן,4.5,1,0,1, פרטית - מקורה, בחדרים ובסלון
ירושלים,1400000,80,דירה,3.5,0,0,0, אין, אין
ירושלים,2300000,80,דירה,4,1,0,1, ברחוב, בסלון
אילת,1100000,124,דירה,4,0,0,1, חניה משותפת, בחדרים ובסלון
ירושלים,2380000,112,דירת גן,5.5,1,1,0, ברחוב, אין
ספיר,0,70,בית פרטי,3,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
רמת גן,2100000,90,דירה,4,0,1,1, פרטית - מקורה, מיזוג מרכזי
תל אביב יפו,4900000,90,דירה,3,0,1,1, פרטית - לא מקורה, בחדרים
אשדוד,1370000,115,דירה,4,1,0,0, פרטית - לא מקורה, מיני מרכזי
פתח תקווה,1000000,46,דירה,3,1,0,0, רחבה ציבורית, בחדרים
שדרות,2350000,190,וילה,4.5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
חיפה,1700000,115,דירה,5,0,0,0, אין, מיני מרכזי
11,4500000,300,וילה,6,0,0,0, פרטית - לא מקורה, בחדרים
טבריה ,2400000,0,בית פרטי,7,0,0,0, פרטית - מקורה, מיני מרכזי
אפרת,1650000,136,דירת גן,5,1,0,0, ברחוב, אין
רמת גן,1500000,62,דירה,2.5,0,0,0, אין, בחדרים
ירושלים,1850000,93,דירה,4,0,0,1, פרטית - מקורה, אין
עכו,450,36,דירה,1.5,0,1,0, פרטית - לא מקורה, בסלון
צפת,770000,95,דירת גג,4.5,1,0,0, ברחוב, בסלון
בית אריה,1900000,160,בית פרטי,5.5,0,1,0, ברחוב, בחדרים ובסלון
עופרים,1550000,150,בית פרטי,6,1,1,0, פרטית - מקורה, בחדרים ובסלון
חיפה,1050000,85,דירת גן,3.5,1,1,0, חניה משותפת, מיזוג מרכזי
רעננה,2250000,111,דירה,4,0,0,1, חניה משותפת, בחדרים ובסלון
אילת,1100000,106,דירה,4,0,1,1, פרטית - מקורה, מיני מרכזי
חיפה,2200000,80,דירה,3,1,1,0, אין, בסלון
 שדרות,640000,70,דירה,3,1,1,0, חניה משותפת, בחדרים ובסלון
ראשון לציון,2399000,103,דירה,4.5,0,0,1, פרטית - לא מקורה, מיני מרכזי
ראשון לציון,2095000,110,דירה,4,1,1,1, פרטית - לא מקורה, מיני מרכזי
טבריה,690000,130,דירה,4,0,1,0, פרטית - לא מקורה, בחדרים ובסלון
אור יהודה,1870000,85,דירה,4,1,0,1, פרטית - מקורה, מיני מרכזי
בת ים,2680000,102,דירה,4,0,1,1, פרטית - מקורה, מיני מרכזי
קרית גת,870000,87,דירה,3,0,0,0, אין, בחדרים
אריאל,1530000,140,קוטג,5,0,0,0, אין, בחדרים ובסלון
קרית אונו,2190000,70,דירת גן,3,1,0,1, פרטית - מקורה, מיזוג מרכזי
נתיבות,950000,75,דירה,3,0,0,1, פרטית - לא מקורה, מיזוג מרכזי
תל אביב יפו,2500000,117,דירה,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
קרית ים,620000,64,דירה,3,0,1,0, חניה משותפת, בחדרים
ראשון לציון,1680000,70,דירה,3.5,0,1,1, אין, בסלון
קרית ים,770000,90,דירה,4,0,1,0, ברחוב, בחדרים ובסלון
עומר,2100000,687,בית פרטי,5,0,0,0, אין, אין
קדומים,1550000,140,דו משפחתי,5,0,0,0, ברחוב, בחדרים ובסלון
תל אביב יפו,2500000,80,דירה,3,0,1,1, אין, בחדרים ובסלון
רחובות,1600000,100,דירה,4,1,1,1, פרטית - מקורה, בחדרים ובסלון
באר שבע,1100000,92,דירה,3,0,0,1, פרטית - מקורה, מיני מרכזי
אשקלון ,5250000,700,וילה,8,0,0,0, פרטית - מקורה, בחדרים ובסלון
גני תקווה,2960000,130,דירה,5,0,0,1, פרטית - מקורה, בחדרים ובסלון
קרית שמונה,590000,90,דירה,4.5,1,1,0, חניה משותפת, בחדרים ובסלון
דימונה,479000,76,דירה,3,0,0,0, חניה משותפת, בחדרים ובסלון
חולון,1900000,105,דירה,4,1,1,1, רחבה ציבורית, מיזוג מרכזי
אשדוד,1750000,188,פנטהאוז,4,0,0,1, פרטית - לא מקורה, אין
רמת גן,2720,117,דירה,5,1,0,1, פרטית - מקורה, מיזוג מרכזי
פתח תקווה,2180000,120,דירה,4,0,1,1, פרטית - מקורה, מיזוג מרכזי
תל אביב יפו,4200000,76,דירה,3,0,1,1, פרטית - מקורה, מיזוג מרכזי
תל אביב יפו,2000000,90,דירת גן,3,0,0,0, פרטית - לא מקורה, אין
רחובות,1750000,96,דירה,4.5,0,1,1, פרטית - לא מקורה, בחדרים ובסלון
תל אביב יפו,0,0,דירה,4,0,0,0, אין, אין
עפולה,5000,120,וילה,5,0,1,0, פרטית - מקורה, בחדרים ובסלון
נהריה,1500000,140,פנטהאוז,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
עפולה,900000,132,דירה,5,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
אשקלון,1,0,דירה,3,0,0,0, רחבה ציבורית, בחדרים ובסלון
תל אביב יפו,500000,110,בית פרטי,6.5,0,0,0, ברחוב, מיזוג מרכזי
יבנה,1580000,100,דירה,4,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
קרית אתא,2000050,161,דירת גן,5,1,1,1, פרטית - לא מקורה, בחדרים ובסלון
רעננה,3200000,142,דירת גג,5,1,1,1, פרטית - מקורה, בחדרים ובסלון
יוסף טל ,1200000,0,דירה,3.5,1,0,0, אין, בסלון
בת ים,1800000,0,דירה,3,0,0,1, אין, אין
חיפה,750000,120,דירה,5.5,0,0,0, חניה משותפת, בחדרים ובסלון
קרית ביאליק,1390000,180,פנטהאוז,5,0,1,0, פרטית - מקורה, בחדרים ובסלון
תל אביב יפו,0,220,דירה,5.5,0,0,1, פרטית - מקורה, מיזוג מרכזי
תל אביב יפו,0,145,דירה,5,0,1,1, פרטית - מקורה, מפוצל
רעננה,3190000,140,דופלקס,5,0,0,1, פרטית - מקורה, בחדרים ובסלון
תל אביב יפו,0,135,דירה,4,0,1,1, פרטית - מקורה, מפוצל
תל אביב יפו,0,100,דירה,3,0,1,1, פרטית - מקורה, מפוצל
תל אביב יפו,0,120,דירה,4,0,1,1, פרטית - מקורה, מיזוג מרכזי
קרית אונו,1280000,41,דירה,1.5,0,0,0, ברחוב, בחדרים
ערד,610000,94,דירה,4,1,0,0, ברחוב, מיזוג מרכזי
נתיבות,890000,102,דירה,4,1,1,1, חניה משותפת, בחדרים ובסלון
טבריה,650000,85,דירה,1,0,0,1, פרטית - מקורה, מיני מרכזי
ירושלים,1950000,100,דירת גן,4,0,0,0, אין, בסלון
ירושלים,1780000,100,דירה,4,1,0,0, אין, בסלון
ראשון לציון,11111,340,בית פרטי,8,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
פתח תקווה,1750000,110,דירה,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
דימונה,0,300,דו משפחתי,7,0,0,0, פרטית - לא מקורה, אין
אשקלון,610000,70,דירה,3.5,0,1,0, אין, אין
כוכב יעקב,2050000,200,דו משפחתי,10,0,0,0, ברחוב, בסלון
חריש,1080000,98,דירה,4,0,0,1, פרטית - לא מקורה, אין
אשקלון,1500000,115,דירה,4,0,1,1, פרטית - לא מקורה, מיני מרכזי
גבעתיים,6800000,160,דירה,5,0,0,1, פרטית - מקורה, מיזוג מרכזי
אשדוד,1280000,87,דירה,3,0,0,1, רחבה ציבורית, בחדרים ובסלון
ירושלים,1350000,75,דירה,3,1,1,0, ברחוב, אין
הרצליה,2900000,0,דירה,4,1,1,1, פרטית - מקורה, מיזוג מרכזי
